OBJECTID,GRID_ID,pr,Shape__Area,Shape__Length
390,AW-85,727.698547363,0.0188595057967191,0.565392013960579
391,AX-85,708.836853027,0.0188603309443565,0.565404215297753
392,AY-85,679.400146484,0.0188604418531639,0.565404542947299
393,AZ-85,734.734008789,0.0188604568261042,0.565404518507
394,BA-85,802.029602051,0.0188604526238834,0.565404434512252
395,BB-85,713.222473145,0.0188601844458347,0.56540092453839
396,BC-85,735.930908203,0.0188593914793671,0.565390370753009
397,BD-85,728.773986816,0.0188583902991439,0.565376848376225
398,BE-85,718.207885742,0.0188573112224582,0.565361899344714
399,BF-85,678.670898438,0.0188559880521417,0.565343861137071
400,BG-85,662.886169434,0.0188544637209809,0.565324736873045
401,BH-85,648.319946289,0.0188523896548016,0.565296361326257
402,BI-85,616.70916748,0.0188503144429308,0.565267403189123
403,BJ-85,603.058410645,0.0188482004912647,0.565240341559986
404,BK-85,645.764282227,0.0188455491189993,0.565205261129565
405,BL-85,648.137817383,0.0188422909523416,0.565158945159864
406,BM-85,633.469299316,0.0188397708853412,0.565127251749853
407,BN-85,617.575439453,0.018836251593715,0.565078901284044
408,BO-85,613.401855469,0.0188327214840349,0.565032337030839
409,BP-85,590.901184082,0.018828875984493,0.564980452490973
410,BQ-85,586.028564453,0.0188246858268641,0.564923249614696
411,BR-85,586.242431641,0.018820361655699,0.564865433703853
412,AK-84,1194.833007812,0.0188787950387308,0.565885495579703
413,AL-84,1352.422241211,0.0188823812629408,0.565933803746204
414,AM-84,1451.452636719,0.0188856132892141,0.565977119122442
415,AN-84,1456.828125,0.0188886057071755,0.566016953838906
416,AO-84,1717.950073242,0.0188915311604489,0.566056641671514
417,AP-84,1772.526245117,0.018893853834669,0.566086955809861
418,AQ-84,1541.708374023,0.0188961007334285,0.566117415351466
419,AR-84,1215.154296875,0.0188980143644528,0.566142137581422
420,AS-84,1045.275146484,0.0189001205932726,0.566171150753149
421,AT-84,848.55078125,0.018901449856557,0.566188322316589
422,AU-84,741.493225098,0.0189027342276518,0.566206062105621
423,AV-84,717.007141113,0.0189037823907796,0.566219662691936
424,AW-84,765.421508789,0.0189046494093574,0.566231180770747
425,AX-84,746.571411133,0.0189052787923529,0.566240025650151
426,AY-84,669.795043945,0.0189056279658857,0.566244648488695
427,AZ-84,664.752441406,0.0189056060356165,0.566243686395597
428,BA-84,639.599975586,0.0189054680148431,0.566242531371002
429,BB-84,642.589904785,0.0189049714857674,0.566235101163342
430,BC-84,686.990966797,0.0189046128810659,0.56623053538993
431,BD-84,718.661682129,0.0189036871853041,0.566218021480703
432,BE-84,724.518554688,0.0189023925904053,0.566200463096362
433,BF-84,683.465454102,0.0189009591260856,0.566181226289144
434,BG-84,648.537536621,0.0188993420577397,0.566160911440736
435,BH-84,609.273986816,0.0188974171072616,0.56613494395927
436,BI-84,575.614013672,0.0188953599201653,0.566106849533585
437,BJ-84,572.617431641,0.0188932040506153,0.566078856741073
438,BK-84,574.49609375,0.0188905994124127,0.566043826081439
439,BL-84,572.877075195,0.0188874181995908,0.565999638018492
440,BM-84,613.857666016,0.0188847507029077,0.565965373714611
441,BN-84,623.373291016,0.0188812102234301,0.565916649828654
442,BO-84,610.934082031,0.0188777520185415,0.565871041759093
443,BP-84,617.913269043,0.0188739268239715,0.565819413941854
444,BQ-84,601.800537109,0.0188696908525436,0.565761896458678
445,BR-84,613.756469727,0.0188654559097934,0.565705525842837
446,BS-84,617.79888916,0.0188610124812953,0.565646754521289
447,AL-83,1255.172973633,0.0189163920580455,0.566592351848537
448,AM-83,1245.840087891,0.018930813515226,0.566819777429748
449,AN-83,1333.253295898,0.0189338184866727,0.566859696333299
450,AO-83,1579.782836914,0.0189367072594564,0.56689855993343
451,AP-83,2004.310546875,0.0189391585202259,0.566930621772847
452,AQ-83,1603.735351562,0.0189414250880588,0.566960529716617
453,AR-83,1155.114379883,0.0189435867582262,0.566989761914732
454,AS-83,1174.327758789,0.0189456459455926,0.567018284472973
455,AT-83,946.074951172,0.0189467006031379,0.56702966579085
