OBJECTID,GRID_ID,tas,Shape__Area,Shape__Length
308,AM-87,10.077297211,0.018751388314115,0.563477342255407
309,AN-87,10.12504673,0.0187543269484252,0.563516500162649
310,AO-87,9.852357864,0.0187573027094459,0.563558433307889
311,AP-87,9.505331039,0.0187595528443296,0.563587875545166
312,AQ-87,9.010165215,0.0187616230427921,0.563615110621097
313,AR-87,8.607795715,0.0187635059505027,0.563640114207774
314,AS-87,8.666329384,0.018765541792007,0.563668191907124
315,AT-87,9.74251461,0.0187670456619173,0.563688223716767
316,AU-87,10.519293785,0.0187681716659966,0.563702935142747
317,AV-87,10.203059196,0.0187695317562202,0.563722034931686
318,AW-87,10.226741791,0.0187702936675578,0.563731614371563
319,AX-87,10.72854805,0.0187709120060617,0.563740916499003
320,AY-87,9.910324097,0.0187712374716611,0.563745709813497
321,AZ-87,9.735124588,0.0187712241311004,0.563744828858827
322,BA-87,10.021809578,0.018771071897433,0.563742730949967
323,BB-87,10.235843658,0.0187707003082878,0.563737621420267
324,BC-87,10.462251663,0.0187699684447864,0.563727466452753
325,BD-87,10.819342613,0.0187690660519131,0.563715785570809
326,BE-87,10.420833588,0.0187678372723745,0.563698793815461
327,BF-87,10.44408226,0.0187665726509678,0.56368166772369
328,BG-87,10.304544449,0.0187650837543423,0.563661698354829
329,BH-87,10.074334145,0.0187628482999767,0.563629726353778
330,BI-87,10.316840172,0.0187609616815649,0.5636052572061
331,BJ-87,10.529810905,0.0187588602636963,0.563577383280518
332,BK-87,10.760329247,0.0187563080265554,0.563543050006285
333,BL-87,10.675209999,0.0187533542849021,0.56350275085484
334,BM-87,10.485626221,0.0187502262765724,0.563459966942292
335,BN-87,10.598586082,0.0187469821879258,0.563416085531056
336,BO-87,10.821948051,0.0187437485143462,0.56337315551488
337,BP-87,10.940289497,0.0187399888067326,0.563322198504233
338,AH-86,10.200661659,0.0187774231303592,0.564057051133141
339,AI-86,10.131339073,0.0187816450133198,0.564114173242738
340,AJ-86,9.9438591,0.0187854759507786,0.564165399189297
341,AK-86,9.878173828,0.0187891372464577,0.564215031254712
342,AL-86,9.817518234,0.0187925468903529,0.564260710768139
343,AM-86,9.919560432,0.0187958689404581,0.564305925326912
344,AN-86,10.181818962,0.0187986056541263,0.564341965587374
345,AO-86,9.638266563,0.0188015746315813,0.564383139342043
346,AP-86,8.263897896,0.0188040433431667,0.564416030608352
347,AQ-86,8.201517105,0.0188061998836133,0.564444510533154
348,AR-86,8.550552368,0.018808105959522,0.564469937961218
349,AS-86,9.260844231,0.0188099107490274,0.564494407299514
350,AT-86,9.273788452,0.0188115532504867,0.564516240705345
351,AU-86,10.101189613,0.0188129561837229,0.564534927726351
352,AV-86,10.50570488,0.0188138715191855,0.564547239047669
353,AW-86,10.305571556,0.0188146072539368,0.564557419546616
354,AX-86,10.720895767,0.0188154074840696,0.564569225103379
355,AY-86,10.911757469,0.0188156832875706,0.56457243301206
356,AZ-86,9.756871223,0.0188157298762093,0.564572737005929
357,BA-86,9.755227089,0.0188154885667515,0.564568845189161
358,BB-86,10.023873329,0.01881532315074,0.56456765544253
359,BC-86,9.84642601,0.0188145747104329,0.564556797570133
360,BD-86,10.202770233,0.0188137382356963,0.564545482613752
361,BE-86,10.15845871,0.0188124829828062,0.564528246382964
362,BF-86,10.02485466,0.0188110352271345,0.564508951384435
363,BG-86,10.238040924,0.0188095772655323,0.564490344983472
364,BH-86,10.264410973,0.0188073817502623,0.564459527096785
